15	0	22	4	39	4	7	11	3	
16	2	2	10	28	12	12	4	0	
22	0	7	8	26	13	12	10	0	
4	2	28	61	43	27	3	2	0	
22	33	50	45	46	12	3	6	4	
12	11	43	34	34	17	9	9	0	
5	0	28	46	53	46	10	2	3	
10	0	13	28	88	16	5	5	4	
32	5	13	8	27	19	11	14	3	
10	13	50	67	19	4	6	0	6	
4	24	61	63	15	0	0	2	0	
10	11	27	38	54	9	0	0	0	
6	5	17	45	33	0	6	4	0	
4	0	9	7	14	0	1	0	0	
2	2	13	37	46	0	3	0	0	
4	0	16	34	36	2	5	0	0	
2	0	2	2	43	17	10	2	0	
12	6	7	8	52	12	5	0	0	
10	2	2	0	41	6	15	2	0	
6	0	1	0	31	4	9	0	0	
20	0	5	4	16	4	5	4	0	
4	0	2	2	36	4	4	2	0	
12	2	3	0	18	2	2	4	0	
6	0	1	0	5	0	1	0	0	
11	0	0	0	8	0	0	0	0	
11	0	0	2	10	0	0	0	0	
10	0	3	2	18	2	4	2	0	
18	2	5	0	14	0	9	6	0	
18	0	7	0	18	2	6	0	0	
19	17	8	8	32	3	7	0	0	
15	7	14	34	27	15	7	0	0	
10	4	9	7	28	27	18	2	0	
16	2	14	16	42	19	9	0	3	
16	6	10	8	38	20	17	4	3	
14	6	26	17	30	5	3	4	0	
25	12	32	48	15	8	3	4	4	
20	2	13	20	36	16	8	9	10	
24	17	31	36	56	15	5	3	0	
18	2	16	38	38	11	11	5	0	
10	2	7	18	42	18	13	0	3	
33	3	3	0	12	50	34	32	15	
14	2	0	0	10	55	127	27	18	
19	6	8	5	34	50	15	14	15	
18	5	5	30	86	20	9	2	0	
11	2	6	39	58	25	14	0	0	
4	8	18	30	60	25	2	0	0	
5	14	10	10	37	11	5	0	0	
17	8	5	15	30	14	4	4	0	
13	2	3	4	18	4	10	8	3	
21	2	6	13	34	2	1	2	0	
14	3	3	2	23	0	3	0	0	
3	0	5	2	18	0	8	0	0	
15	0	1	0	10	0	11	0	0	
5	0	1	0	2	0	2	0	0	
19	0	0	0	9	0	3	0	0	
19	4	6	11	17	4	1	2	0	
9	6	8	16	35	2	9	2	0	
15	8	7	5	35	4	4	6	0	
16	2	6	0	26	4	9	0	0	
17	0	14	0	21	2	4	0	0	
2	0	9	4	14	2	5	0	0	
5	0	7	6	47	2	4	0	0	
4	0	3	7	48	8	1	6	0	
8	2	4	21	67	30	4	0	0	
8	0	4	9	51	38	11	0	0	
